925 reqs/sec
failed 5029


cd /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom; JAVA_HOME=/usr/lib/jvm/java-1.21.0-openjdk-amd64 /snap/netbeans/84/netbeans/java/maven/bin/mvn -Dexec.vmArgs= "-Dexec.args=${exec.vmArgs} -classpath %classpath ${exec.mainClass} ${exec.appArgs}" -Dexec.executable=/usr/lib/jvm/java-1.21.0-openjdk-amd64/bin/java -Dexec.mainClass=fish.payara.codingdojo.playwithloom.ServerWithLoom -Dexec.classpathScope=runtime -DskipTests=true -Dexec.appArgs= process-classes org.codehaus.mojo:exec-maven-plugin:3.1.0:exec

Some problems were encountered while building the effective settings
Unrecognised tag: 'url' (position: START_TAG seen ...</name>-->\n            <url>... @54:18)  @ /home/aubi/.m2/settings.xml, line 54, column 18

Scanning for projects...

----------------< fish.payara.codingdojo:PlayWithLoom >-----------------
Building PlayWithLoom 1.0-SNAPSHOT
  from pom.xml
--------------------------------[ jar ]---------------------------------

--- resources:3.3.1:resources (default-resources) @ PlayWithLoom ---
skip non existing resourceDirectory /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom/src/main/resources

--- compiler:3.11.0:compile (default-compile) @ PlayWithLoom ---
Nothing to compile - all classes are up to date

--- exec:3.1.0:exec (default-cli) @ PlayWithLoom ---
Server is listening on port 8080
2023-11-02T14:39:47.363841793  Counter:   340 ->   162 (  179 running,   243 max)
2023-11-02T14:39:47.364275159  Counter:   343 ->   163 (  180 running,   243 max)
2023-11-02T14:39:47.364457305  Counter:   345 ->   164 (  180 running,   243 max)
2023-11-02T14:39:47.365927325  Counter:   353 ->   169 (  184 running,   243 max)
2023-11-02T14:39:47.366926056  Counter:   357 ->   170 (  187 running,   243 max)
2023-11-02T14:39:47.367105338  Counter:   360 ->   171 (  187 running,   243 max)
2023-11-02T14:39:47.367368431  Counter:   361 ->   172 (  189 running,   243 max)
2023-11-02T14:39:47.367595974  Counter:   363 ->   173 (  190 running,   243 max)
2023-11-02T14:39:47.367760659  Counter:   364 ->   174 (  190 running,   243 max)
2023-11-02T14:39:47.368017606  Counter:   366 ->   175 (  191 running,   243 max)
2023-11-02T14:39:47.368190253  Counter:   367 ->   177 (  190 running,   243 max)
2023-11-02T14:39:47.368502444  Counter:   369 ->   178 (  191 running,   243 max)
2023-11-02T14:39:47.369465276  Counter:   375 ->   179 (  195 running,   243 max)
2023-11-02T14:39:47.369899131  Counter:   378 ->   180 (  197 running,   243 max)
2023-11-02T14:39:47.370228432  Counter:   380 ->   181 (  199 running,   243 max)
2023-11-02T14:39:47.370371328  Counter:   380 ->   183 (  197 running,   243 max)
2023-11-02T14:39:47.370663683  Counter:   383 ->   185 (  199 running,   243 max)
2023-11-02T14:39:47.371005766  Counter:   386 ->   186 (  199 running,   243 max)
2023-11-02T14:39:47.371270255  Counter:   388 ->   187 (  201 running,   243 max)
2023-11-02T14:39:47.371510579  Counter:   389 ->   188 (  201 running,   243 max)
2023-11-02T14:39:47.372073081  Counter:   393 ->   189 (  203 running,   243 max)
2023-11-02T14:39:47.372356008  Counter:   395 ->   191 (  205 running,   243 max)
2023-11-02T14:39:47.372686777  Counter:   397 ->   192 (  205 running,   243 max)
2023-11-02T14:39:47.348543962  Counter:   318 ->   151 (  166 running,   243 max)
2023-11-02T14:39:47.37553728   Counter:   467 ->   229 (  210 running,   243 max)
2023-11-02T14:39:47.360650604  Counter:   319 ->   153 (  166 running,   243 max)
2023-11-02T14:39:47.361565595  Counter:   323 ->   155 (  168 running,   243 max)
2023-11-02T14:39:47.363386638  Counter:   335 ->   159 (  176 running,   243 max)
2023-11-02T14:39:47.36369366   Counter:   338 ->   160 (  178 running,   243 max)
2023-11-02T14:39:47.363874409  Counter:   340 ->   162 (  178 running,   243 max)
2023-11-02T14:39:47.364608232  Counter:   346 ->   165 (  180 running,   243 max)
2023-11-02T14:39:47.365118702  Counter:   349 ->   166 (  183 running,   243 max)
2023-11-02T14:39:47.365410639  Counter:   350 ->   167 (  183 running,   243 max)
2023-11-02T14:39:47.365716265  Counter:   352 ->   168 (  184 running,   243 max)
2023-11-02T14:39:47.368205828  Counter:   367 ->   177 (  190 running,   243 max)
2023-11-02T14:39:47.370354286  Counter:   380 ->   183 (  198 running,   243 max)
2023-11-02T14:39:47.370683588  Counter:   383 ->   185 (  198 running,   243 max)
2023-11-02T14:39:47.37237731   Counter:   395 ->   191 (  204 running,   243 max)
2023-11-02T14:39:47.373268625  Counter:   399 ->   193 (  206 running,   243 max)
2023-11-02T14:39:47.373575717  Counter:   400 ->   194 (  206 running,   243 max)
2023-11-02T14:39:47.373888466  Counter:   402 ->   196 (  207 running,   243 max)
2023-11-02T14:39:47.373894124  Counter:   402 ->   196 (  206 running,   243 max)
2023-11-02T14:39:47.374201146  Counter:   404 ->   198 (  207 running,   243 max)
2023-11-02T14:39:47.374204498  Counter:   404 ->   198 (  206 running,   243 max)
2023-11-02T14:39:47.374461934  Counter:   406 ->   199 (  207 running,   243 max)
2023-11-02T14:39:47.374509146  Counter:   407 ->   202 (  206 running,   243 max)
2023-11-02T14:39:47.374513895  Counter:   407 ->   202 (  205 running,   243 max)
2023-11-02T14:39:47.374521997  Counter:   407 ->   202 (  205 running,   243 max)
2023-11-02T14:39:47.404090435  Counter:   564 ->   271 (  293 running,   293 max)
2023-11-02T14:39:47.374810092  Counter:   410 ->   205 (  207 running,   243 max)
2023-11-02T14:39:47.374815331  Counter:   410 ->   205 (  206 running,   243 max)
2023-11-02T14:39:47.374849902  Counter:   412 ->   205 (  205 running,   243 max)
2023-11-02T14:39:47.37509302   Counter:   414 ->   206 (  208 running,   243 max)
2023-11-02T14:39:47.375782353  Counter:   419 ->   208 (  210 running,   243 max)
2023-11-02T14:39:47.376482582  Counter:   424 ->   210 (  215 running,   243 max)
2023-11-02T14:39:47.376493478  Counter:   424 ->   210 (  214 running,   243 max)
2023-11-02T14:39:47.376546417  Counter:   426 ->   211 (  214 running,   243 max)
2023-11-02T14:39:47.37675224   Counter:   427 ->   213 (  215 running,   243 max)
2023-11-02T14:39:47.376781154  Counter:   428 ->   213 (  214 running,   243 max)
2023-11-02T14:39:47.377745872  Counter:   436 ->   214 (  222 running,   243 max)
2023-11-02T14:39:47.377901479  Counter:   438 ->   216 (  223 running,   243 max)
2023-11-02T14:39:47.377935072  Counter:   439 ->   216 (  222 running,   243 max)
2023-11-02T14:39:47.378208082  Counter:   440 ->   218 (  223 running,   243 max)
2023-11-02T14:39:47.378240279  Counter:   441 ->   218 (  222 running,   243 max)
2023-11-02T14:39:47.378529352  Counter:   442 ->   220 (  222 running,   243 max)
2023-11-02T14:39:47.41251204   Counter:   625 ->   300 (  325 running,   325 max)
2023-11-02T14:39:47.378518387  Counter:   444 ->   220 (  223 running,   243 max)
2023-11-02T14:39:47.378917739  Counter:   445 ->   221 (  224 running,   243 max)
2023-11-02T14:39:47.379392241  Counter:   450 ->   222 (  227 running,   243 max)
2023-11-02T14:39:47.379588565  Counter:   451 ->   224 (  228 running,   243 max)
2023-11-02T14:39:47.379624534  Counter:   452 ->   224 (  227 running,   243 max)
2023-11-02T14:39:47.380065023  Counter:   456 ->   225 (  230 running,   243 max)
2023-11-02T14:39:47.380723626  Counter:   460 ->   226 (  234 running,   243 max)
2023-11-02T14:39:47.381084636  Counter:   462 ->   227 (  235 running,   243 max)
2023-11-02T14:39:47.381394941  Counter:   464 ->   228 (  236 running,   243 max)
2023-11-02T14:39:47.38204691   Counter:   466 ->   229 (  237 running,   243 max)
2023-11-02T14:39:47.382930682  Counter:   469 ->   230 (  239 running,   243 max)
2023-11-02T14:39:47.383186161  Counter:   470 ->   231 (  239 running,   243 max)
2023-11-02T14:39:47.383435495  Counter:   472 ->   232 (  240 running,   243 max)
2023-11-02T14:39:47.383636638  Counter:   473 ->   233 (  240 running,   243 max)
2023-11-02T14:39:47.383879755  Counter:   475 ->   234 (  240 running,   243 max)
2023-11-02T14:39:47.38449394   Counter:   480 ->   235 (  245 running,   245 max)
2023-11-02T14:39:47.384672245  Counter:   481 ->   236 (  245 running,   245 max)
2023-11-02T14:39:47.424251946  Counter:   719 ->   352 (  366 running,   366 max)
2023-11-02T14:39:47.385168048  Counter:   485 ->   237 (  248 running,   248 max)
