908.33 reqs/sec

50	270
66	475
75	543
80	619
90	1468
95	1731
98	2607
99	3211
100	8426





cd /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom; JAVA_HOME=/usr/lib/jvm/java-1.21.0-openjdk-amd64 /snap/netbeans/84/netbeans/java/maven/bin/mvn -Dexec.vmArgs= "-Dexec.args=${exec.vmArgs} -classpath %classpath ${exec.mainClass} ${exec.appArgs}" -Dexec.executable=/usr/lib/jvm/java-1.21.0-openjdk-amd64/bin/java -Dexec.mainClass=fish.payara.codingdojo.playwithloom.ServerWithLoom -Dexec.classpathScope=runtime -DskipTests=true -Dexec.appArgs= process-classes org.codehaus.mojo:exec-maven-plugin:3.1.0:exec

Some problems were encountered while building the effective settings
Unrecognised tag: 'url' (position: START_TAG seen ...</name>-->\n            <url>... @54:18)  @ /home/aubi/.m2/settings.xml, line 54, column 18

Scanning for projects...

----------------< fish.payara.codingdojo:PlayWithLoom >-----------------
Building PlayWithLoom 1.0-SNAPSHOT
  from pom.xml
--------------------------------[ jar ]---------------------------------

--- resources:3.3.1:resources (default-resources) @ PlayWithLoom ---
skip non existing resourceDirectory /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom/src/main/resources

--- compiler:3.11.0:compile (default-compile) @ PlayWithLoom ---
Nothing to compile - all classes are up to date

--- exec:3.1.0:exec (default-cli) @ PlayWithLoom ---
Server is listening on port 8080
2023-11-02T14:25:56.654040773  Counter:   237 ->   125 (  112 running,   121 max)
2023-11-02T14:25:56.654666272  Counter:   238 ->   126 (  112 running,   121 max)
2023-11-02T14:25:56.633070779  Counter:   196 ->    99 (   97 running,   121 max)
2023-11-02T14:25:56.656758787  Counter:   240 ->   127 (  113 running,   121 max)
2023-11-02T14:25:56.633139782  Counter:   197 ->   100 (   97 running,   121 max)
2023-11-02T14:25:56.633463427  Counter:   198 ->   101 (   97 running,   121 max)
2023-11-02T14:25:56.633792658  Counter:   200 ->   103 (   98 running,   121 max)
2023-11-02T14:25:56.633808792  Counter:   201 ->   103 (   97 running,   121 max)
2023-11-02T14:25:56.634617764  Counter:   202 ->   105 (   98 running,   121 max)
2023-11-02T14:25:56.634657992  Counter:   203 ->   105 (   97 running,   121 max)
2023-11-02T14:25:56.634980659  Counter:   204 ->   107 (   98 running,   121 max)
2023-11-02T14:25:56.663382049  Counter:   256 ->   135 (  121 running,   121 max)
2023-11-02T14:25:56.635013764  Counter:   205 ->   107 (   97 running,   121 max)
2023-11-02T14:25:56.665471282  Counter:   258 ->   136 (  122 running,   122 max)
2023-11-02T14:25:56.635320437  Counter:   206 ->   108 (   98 running,   121 max)
2023-11-02T14:25:56.667671772  Counter:   265 ->   138 (  127 running,   127 max)
2023-11-02T14:25:56.63624772   Counter:   208 ->   109 (   99 running,   121 max)
2023-11-02T14:25:56.637041607  Counter:   210 ->   110 (  100 running,   121 max)
2023-11-02T14:25:56.648852541  Counter:   214 ->   113 (  101 running,   121 max)
2023-11-02T14:25:56.648848281  Counter:   214 ->   113 (  102 running,   121 max)
2023-11-02T14:25:56.649206008  Counter:   216 ->   115 (  101 running,   121 max)
2023-11-02T14:25:56.6495703    Counter:   218 ->   116 (  102 running,   121 max)
2023-11-02T14:25:56.650392542  Counter:   222 ->   118 (  104 running,   121 max)
2023-11-02T14:25:56.651291469  Counter:   227 ->   120 (  107 running,   121 max)
2023-11-02T14:25:56.652054137  Counter:   231 ->   122 (  109 running,   121 max)
2023-11-02T14:25:56.653875668  Counter:   236 ->   124 (  112 running,   121 max)
2023-11-02T14:25:56.657810109  Counter:   242 ->   128 (  114 running,   121 max)
2023-11-02T14:25:56.658639963  Counter:   244 ->   129 (  115 running,   121 max)
2023-11-02T14:25:56.659456059  Counter:   246 ->   130 (  116 running,   121 max)
2023-11-02T14:25:56.660174726  Counter:   248 ->   131 (  117 running,   121 max)
2023-11-02T14:25:56.66092992   Counter:   250 ->   132 (  118 running,   121 max)
2023-11-02T14:25:56.661704879  Counter:   252 ->   133 (  119 running,   121 max)
2023-11-02T14:25:56.662572518  Counter:   254 ->   134 (  120 running,   121 max)
2023-11-02T14:25:56.679430186  Counter:   283 ->   149 (  133 running,   134 max)
2023-11-02T14:25:56.666423777  Counter:   260 ->   137 (  123 running,   123 max)
2023-11-02T14:25:56.668813398  Counter:   268 ->   139 (  129 running,   129 max)
2023-11-02T14:25:56.669908161  Counter:   270 ->   140 (  130 running,   130 max)
2023-11-02T14:25:56.672742181  Counter:   272 ->   141 (  131 running,   131 max)
2023-11-02T14:25:56.674169598  Counter:   274 ->   142 (  132 running,   132 max)
2023-11-02T14:25:56.676469892  Counter:   276 ->   143 (  133 running,   133 max)
2023-11-02T14:25:56.678318801  Counter:   277 ->   144 (  133 running,   133 max)
2023-11-02T14:25:56.678749442  Counter:   278 ->   145 (  133 running,   133 max)
2023-11-02T14:25:56.679092363  Counter:   280 ->   147 (  134 running,   134 max)
2023-11-02T14:25:56.67909802   Counter:   280 ->   147 (  133 running,   134 max)
2023-11-02T14:25:56.679406021  Counter:   282 ->   149 (  134 running,   134 max)
2023-11-02T14:25:56.679798319  Counter:   284 ->   150 (  134 running,   134 max)
2023-11-02T14:25:56.680338542  Counter:   287 ->   151 (  136 running,   136 max)
2023-11-02T14:25:56.698768407  Counter:   338 ->   177 (  161 running,   161 max)
2023-11-02T14:25:56.680726021  Counter:   289 ->   152 (  137 running,   137 max)
2023-11-02T14:25:56.681066777  Counter:   291 ->   153 (  137 running,   137 max)
2023-11-02T14:25:56.681381831  Counter:   292 ->   154 (  138 running,   138 max)
2023-11-02T14:25:56.707395765  Counter:   370 ->   197 (  174 running,   174 max)
2023-11-02T14:25:56.708068477  Counter:   374 ->   201 (  174 running,   174 max)
2023-11-02T14:25:56.68149246   Counter:   293 ->   155 (  138 running,   138 max)
2023-11-02T14:25:56.681834613  Counter:   294 ->   156 (  138 running,   138 max)
2023-11-02T14:25:56.68261907   Counter:   297 ->   157 (  140 running,   140 max)
2023-11-02T14:25:56.683052366  Counter:   299 ->   158 (  141 running,   141 max)
2023-11-02T14:25:56.683424271  Counter:   301 ->   159 (  142 running,   142 max)
2023-11-02T14:25:56.683797572  Counter:   303 ->   160 (  143 running,   143 max)
2023-11-02T14:25:56.684154322  Counter:   305 ->   161 (  144 running,   144 max)
2023-11-02T14:25:56.715683834  Counter:   399 ->   220 (  179 running,   179 max)
2023-11-02T14:25:56.688055658  Counter:   308 ->   162 (  146 running,   146 max)
2023-11-02T14:25:56.689016046  Counter:   310 ->   163 (  147 running,   147 max)
2023-11-02T14:25:56.689898421  Counter:   312 ->   164 (  148 running,   148 max)
2023-11-02T14:25:56.690735818  Counter:   314 ->   165 (  149 running,   149 max)
2023-11-02T14:25:56.691515038  Counter:   316 ->   166 (  150 running,   150 max)
2023-11-02T14:25:56.692316956  Counter:   318 ->   167 (  151 running,   151 max)
2023-11-02T14:25:56.693113775  Counter:   320 ->   168 (  152 running,   152 max)
2023-11-02T14:25:56.694186817  Counter:   321 ->   169 (  152 running,   152 max)
2023-11-02T14:25:56.694569967  Counter:   323 ->   170 (  153 running,   153 max)
2023-11-02T14:25:56.694920151  Counter:   324 ->   171 (  153 running,   153 max)
2023-11-02T14:25:56.695658164  Counter:   326 ->   172 (  154 running,   154 max)
2023-11-02T14:25:56.696598228  Counter:   330 ->   173 (  157 running,   157 max)
2023-11-02T14:25:56.696833454  Counter:   331 ->   174 (  157 running,   157 max)
2023-11-02T14:25:56.697163175  Counter:   332 ->   175 (  157 running,   157 max)
2023-11-02T14:25:56.698360674  Counter:   336 ->   176 (  160 running,   160 max)
2023-11-02T14:25:56.699165385  Counter:   340 ->   178 (  162 running,   162 max)
